course_number,title,tags,notes,is_corecs,is_advancedcs,is_secondary,is_programming1,is_programming2,is_formalreasoning,is_complimitations,is_algorithms,is_intermediatealgorithms,is_systems,is_computationandtheworld,is_ai,is_probability,is_linearalgebra,is_discretemath
CS1970 (formerly CS197),AI Research Experiences,"corecs, computationandtheworld, ai, advancedcs, secondary",,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
CS20,Discrete Mathematics for Computer Science,"corecs, formalreasoning, discretemath, secondary",,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
CS2050 (formerly CS205),Computing Foundations for Computational Science,"corecs, advancedcs, secondary",,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CS2080 (formerly CS208),Applied Privacy for Data Science,"corecs, formalreasoning, computationandtheworld, advancedcs, secondary",,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
CS2210 (formerly CS221),Computational Complexity,"corecs, formalreasoning, complimitations, advancedcs, secondary",,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CS2211,Information Theory in CS,"corecs, formalreasoning, advancedcs, secondary",,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CS2212 (formerly CS229R),Topics in Theoretical Computer Science: Biology and Complexity,"corecs, computationandtheworld, advancedcs, secondary",,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
CS2231 (formerly CS231),Quantum Computation and Quantum Complexity,"corecs, formalreasoning, advancedcs, secondary",Mutually exclusive with QSE 210a,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CS2232 / MIT 6.5430,Frontiers of Quantum Complexity Theory,"corecs, formalreasoning, complimitations, advancedcs, secondary",,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CS2233,Quantum Learning Theory,"corecs, formalreasoning, advancedcs, secondary",,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CS224 (formerly CS224),Advanced Algorithms,"corecs, formalreasoning, algorithms, intermediatealgorithms, advancedcs, secondary",,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CS2241 (formerly CS222),Algorithms at the Ends of the Wire,"corecs, formalreasoning, algorithms, intermediatealgorithms, advancedcs, secondary",,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CS2242 (formerly CS223),Probabilistic Analysis and Algorithms,"corecs, formalreasoning, algorithms, intermediatealgorithms, advancedcs, secondary",,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CS2243,Algorithms for Data Science,"corecs, formalreasoning, algorithms, intermediatealgorithms, advancedcs, secondary",,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CS2252 (formerly CS229CR),High Dimensional Probability: Spectral Graph Theory in CS,"corecs, formalreasoning, advancedcs, secondary",,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CS2253,Seminar on Pseudorandomness & High-Dimensional Expanders,"corecs, formalreasoning, advancedcs, secondary",,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CS2260 (formerly CS226R),Topics in Theory for Society: Fairness and Validity,"corecs, formalreasoning, computationandtheworld, advancedcs, secondary",,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
CS2261 (formerly CS226R),Topics in Theory for Society: Algorithmic Fairness,"corecs, formalreasoning, computationandtheworld, advancedcs, secondary",,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
CS2280 (formerly CS228),Computational Learning Theory,"corecs, formalreasoning, complimitations, ai, advancedcs, secondary",,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
CS2281R (Fall 2024 only),Mathematical & Engineering Principles for Training Foundation Models,"corecs, computationandtheworld, advancedcs","Unlike most classes numbered x2xx, this is not a theoretical CS class.",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
CS2281R (formerly CS229BR) (All but Fall 2024 only),Topics in Foundations of ML,"corecs, formalreasoning, advancedcs",,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CS229BR (Spring 2021 only),Advanced Topics in the Theory of Machine Learning,"corecs, computationandtheworld, advancedcs, secondary",,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
CS229BR (Spring 2023 only),Advanced Topics in the Theory of Machine Learning,"corecs, formalreasoning, advancedcs, secondary",,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CS229R (Fall 2022 only),Topics in Theoretical Computer Science: Information Theory,"corecs, formalreasoning, advancedcs, secondary",,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CS229R (Fall 2023 only),Essential Coding Theory,"corecs, formalreasoning, advancedcs, secondary",,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CS2340 (formerly CS234R),Topics on Computation in Networks and Crowds,"corecs, formalreasoning, advancedcs, secondary",,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CS2360r (formerly CS236R),Topics at the Interface between Computer Science and Economics,"corecs, formalreasoning, computationandtheworld, advancedcs, secondary",,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
CS2370 (formerly CS237),Economic Analysis as a Frontier of Theoretical Computer Science,"corecs, formalreasoning, computationandtheworld, advancedcs, secondary",,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
CS2380 (formerly CS238),Optimized Democracy,"corecs, formalreasoning, computationandtheworld, advancedcs, secondary",,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
CS2411 (formerly CS246),Advanced Computer Architecture,"corecs, systems, advancedcs, secondary",,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CS2420 (formerly CS242),Computing at Scale,"corecs, systems, advancedcs, secondary",,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CS2430 (formerly CS243),Advanced Computer Networks,"corecs, systems, advancedcs, secondary",,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CS2470r (formerly CS247R),Advanced Topics in Computer Architecture,"corecs, systems, advancedcs, secondary",,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CS2490r (formerly CS249R),Tiny Machine Learning,"corecs, systems, computationandtheworld, advancedcs, secondary",,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CS2520r (formerly CS252R),Advanced Topics in Programming Languages,"corecs, advancedcs, secondary",,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CS2540 (formerly CS254),Formal Methods for Computer Security,"corecs, formalreasoning, advancedcs, secondary",,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CS2600r (formerly CS260R),Projects and Close Readings in Software Systems,"corecs, advancedcs, secondary",,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CS2610 (formerly CS261),Research Topics in Operating Systems,"corecs, systems, advancedcs, secondary",,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CS2620 (formerly CS262),Introduction to Distributed Computing,"corecs, systems, advancedcs, secondary",,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CS2630 (formerly CS263),Systems Security,"corecs, systems, advancedcs, secondary",,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CS2650 (formerly CS265),Big Data Systems,"corecs, systems, advancedcs, secondary",,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CS2710 (formerly CS271),Topics in Data Visualization,"corecs, advancedcs, secondary",,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CS2760 (formerly CS276),"Design, Technology, and Social Impact","corecs, advancedcs, secondary",,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CS2780,"Conceptualizing, Building, and Evaluating Usable Novel Interactive Systems","corecs, programming2, computationandtheworld, advancedcs, secondary",,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
